    C14    TCP   56   4.496  24.684  28.243      C
    C15    TCP   56   4.523  23.323  28.244      C
    C16    TCP   56   4.518  21.544  21.546      C
    C17    TCP   56   4.529  21.547  26.456      C
    C18    TCP   56   4.481  26.456  26.453      C
    C19    TCP   56   4.470  26.452  21.543      C
    C20    TCP   56   4.527  18.468  29.529      C
    C21    TCP   56   5.725  18.986  29.024      C
    C22    TCP   56   5.730  19.971  28.035      C
    C23    TCP   56   4.527  20.484  27.518      C
    C24    TCP   56   3.324  19.965  28.028      C
    C25    TCP   56   3.329  18.974  29.013      C
    C26    TCP   56   4.501  18.458  18.479      C
    C27    TCP   56   3.306  18.974  18.992      C
    C28    TCP   56   3.305  19.967  19.974      C
    C29    TCP   56   4.511  20.478  20.487      C
    C30    TCP   56   5.712  19.956  19.974      C
    C31    TCP   56   5.702  18.969  18.989      C
    C32    TCP   56   4.470  29.533  18.471      C
    C33    TCP   56   3.274  29.042  19.004      C
    C34    TCP   56   3.269  28.055  19.991      C
    C35    TCP   56   4.471  27.515  20.482      C
    C36    TCP   56   5.673  28.009  19.945      C
    C37    TCP   56   5.668  29.000  18.961      C
    C38    TCP   56   4.498  29.541  29.522      C
    C39    TCP   56   3.298  29.040  29.004      C
    C40    TCP   56   3.288  28.053  28.016      C
    C41    TCP   56   4.489  27.521  27.513      C
    C42    TCP   56   5.694  28.024  28.035      C
    C43    TCP   56   5.693  29.016  29.017      C
      O    TCP   56   3.391  16.972  30.996      O
    C44    TCP   56   4.529  17.367  30.630      C
     O1    TCP   56   5.665  17.000  31.023      O
     O2    TCP   56   5.606  31.003  16.980      O
    C45    TCP   56   4.469  30.634  17.373      C
     O3    TCP   56   3.332  31.026  17.004      O
     O4    TCP   56   5.642  31.021  30.996      O
    C46    TCP   56   4.502  30.643  30.619      C
     O5    TCP   56   3.367  31.028  31.000      O
     O6    TCP   56   5.633  16.980  16.991      O
    C47    TCP   56   4.497  17.356  17.382      C
     O7    TCP   56   3.358  16.968  17.014      O
     CO    TCP   56   4.500  24.000  24.000     CO
    H24    TCP   56   4.412  18.908  22.657      H
     H1    TCP   56   4.419  18.910  25.351      H
     H2    TCP   56   4.457  25.342  18.906      H
     H3    TCP   56   4.517  22.650  18.907      H
     H4    TCP   56   4.580  29.089  22.649      H
     H5    TCP   56   4.587  29.091  25.342      H
     H6    TCP   56   4.482  25.350  29.093      H
     H7    TCP   56   4.542  22.657  29.095      H
     H8    TCP   56   6.650  18.586  29.434      H
     H9    TCP   56   6.673  20.363  27.656      H
    H10    TCP   56   2.381  20.343  27.638      H
    H11    TCP   56   2.406  18.563  29.410      H
    H12    TCP   56   2.380  18.569  18.593      H
    H13    TCP   56   2.364  20.352  20.362      H
    H14    TCP   56   6.656  20.342  20.355      H
    H15    TCP   56   6.624  18.563  18.581      H
    H16    TCP   56   2.348  29.459  18.615      H
    H17    TCP   56   2.326  27.684  20.391      H
    H18    TCP   56   6.617  27.611  20.315      H
    H19    TCP   56   6.591  29.391  18.543      H
    H20    TCP   56   2.375  29.452  29.404      H
    H21    TCP   56   2.344  27.675  27.630      H
    H22    TCP   56   6.635  27.632  27.653      H
    H23    TCP   56   6.619  29.415  29.421      H
    C48    TCP   57   1.529   5.135  22.895      C
     C1    TCP   57   1.534   5.137  25.109      C
     C2    TCP   57   1.466   3.758  23.323      C
     C3    TCP   57   1.470   3.760  24.685      C
     N1    TCP   57   1.494   7.998  21.962      N
     C4    TCP   57   1.504   6.891  21.136      C
     C5    TCP   57   1.481   9.105  21.133      C
     C6    TCP   57   1.476   8.678  19.755      C
     C7    TCP   57   1.503   7.316  19.757      C
     N2    TCP   57   1.437  10.036  23.998      N
     C8    TCP   57   1.465  10.863  22.891      C
     C9    TCP   57   1.470  10.866  25.105      C
    C10    TCP   57   1.529  12.239  23.316      C
    C11    TCP   57   1.533  12.242  24.678      C
     N3    TCP   57   1.505   8.002  26.038      N
    C12    TCP   57   1.518   6.895  26.867      C
    C13    TCP   57   1.495   9.109  26.864      C
    C14    TCP   57   1.496   8.684  28.243      C
    C15    TCP   57   1.523   7.323  28.244      C
    C16    TCP   57   1.518   5.544  21.546      C
    C17    TCP   57   1.529   5.547  26.456      C
    C18    TCP   57   1.481  10.456  26.453      C
    C19    TCP   57   1.470  10.452  21.543      C
    C20    TCP   57   1.527   2.468  29.529      C
    C21    TCP   57   2.725   2.986  29.024      C
    C22    TCP   57   2.730   3.971  28.035      C
    C23    TCP   57   1.527   4.484  27.518      C
    C24    TCP   57   0.324   3.965  28.028      C
    C25    TCP   57   0.329   2.974  29.013      C
    C26    TCP   57   1.501   2.458  18.479      C
    C27    TCP   57   0.306   2.974  18.992      C
    C28    TCP   57   0.305   3.967  19.974      C
    C29    TCP   57   1.511   4.478  20.487      C
    C30    TCP   57   2.712   3.956  19.974      C
    C31    TCP   57   2.702   2.969  18.989      C
    C32    TCP   57   1.470  13.533  18.471      C
    C33    TCP   57   0.274  13.042  19.004      C
    C34    TCP   57   0.269  12.055  19.991      C
    C35    TCP   57   1.471  11.515  20.482      C
    C36    TCP   57   2.673  12.009  19.945      C
    C37    TCP   57   2.668  13.000  18.961      C
    C38    TCP   57   1.498  13.541  29.522      C
    C39    TCP   57   0.298  13.040  29.004      C
    C40    TCP   57   0.288  12.053  28.016      C
    C41    TCP   57   1.489  11.521  27.513      C
    C42    TCP   57   2.694  12.024  28.035      C
    C43    TCP   57   2.693  13.016  29.017      C
      O    TCP   57   0.391   0.972  30.996      O
    C44    TCP   57   1.529   1.367  30.630      C
     O1    TCP   57   2.665   1.000  31.023      O
     O2    TCP   57   2.606  15.003  16.980      O
    C45    TCP   57   1.469  14.634  17.373      C
     O3    TCP   57   0.332  15.026  17.004      O
     O4    TCP   57   2.642  15.021  30.996      O
    C46    TCP   57   1.502  14.643  30.619      C
     O5    TCP   57   0.367  15.028  31.000      O
     O6    TCP   57   2.633   0.980  16.991      O
    C47    TCP   57   1.497   1.356  17.382      C
     O7    TCP   57   0.358   0.968  17.014      O
     CO    TCP   57   1.500   8.000  24.000     CO
    H24    TCP   57   1.412   2.908  22.657      H
     H1    TCP   57   1.419   2.910  25.351      H
     H2    TCP   57   1.457   9.342  18.906      H
     H3    TCP   57   1.517   6.650  18.907      H
     H4    TCP   57   1.580  13.089  22.649      H
     H5    TCP   57   1.587  13.091  25.342      H
     H6    TCP   57   1.482   9.350  29.093      H
     H7    TCP   57   1.542   6.657  29.095      H
     H8    TCP   57   3.650   2.586  29.434      H
     H9    TCP   57   3.673   4.363  27.656      H
    H10    TCP   57  -0.619   4.343  27.638      H
    H11    TCP   57  -0.594   2.563  29.410      H
    H12    TCP   57  -0.620   2.569  18.593      H
    H13    TCP   57  -0.636   4.352  20.362      H
    H14    TCP   57   3.656   4.342  20.355      H
    H15    TCP   57   3.624   2.563  18.581      H
    H16    TCP   57  -0.652  13.459  18.615      H
    H17    TCP   57  -0.674  11.684  20.391      H
    H18    TCP   57   3.617  11.611  20.315      H
    H19    TCP   57   3.591  13.391  18.543      H
    H20    TCP   57  -0.625  13.452  29.404      H
    H21    TCP   57  -0.656  11.675  27.630      H
    H22    TCP   57   3.635  11.632  27.653      H
    H23    TCP   57   3.619  13.415  29.421      H
    C48    TCP   58   1.529   5.135   6.895      C
     C1    TCP   58   1.534   5.137   9.109      C
     C2    TCP   58   1.466   3.758   7.323      C
     C3    TCP   58   1.470   3.760   8.685      C
     N1    TCP   58   1.494   7.998   5.962      N
     C4    TCP   58   1.504   6.891   5.136      C
     C5    TCP   58   1.481   9.105   5.133      C
     C6    TCP   58   1.476   8.678   3.755      C
     C7    TCP   58   1.503   7.316   3.757      C
     N2    TCP   58   1.437  10.036   7.998      N
     C8    TCP   58   1.465  10.863   6.891      C
     C9    TCP   58   1.470  10.866   9.105      C
    C10    TCP   58   1.529  12.239   7.316      C
    C11    TCP   58   1.533  12.242   8.678      C
     N3    TCP   58   1.505   8.002  10.038      N
    C12    TCP   58   1.518   6.895  10.867      C
    C13    TCP   58   1.495   9.109  10.864      C
    C14    TCP   58   1.496   8.684  12.243      C
    C15    TCP   58   1.523   7.323  12.244      C
    C16    TCP   58   1.518   5.544   5.546      C
    C17    TCP   58   1.529   5.547  10.456      C
    C18    TCP   58   1.481  10.456  10.453      C
    C19    TCP   58   1.470  10.452   5.543      C
    C20    TCP   58   1.527   2.468  13.529      C
    C21    TCP   58   2.725   2.986  13.024      C
    C22    TCP   58   2.730   3.971  12.035      C
    C23    TCP   58   1.527   4.484  11.518      C
    C24    TCP   58   0.324   3.965  12.028      C
    C25    TCP   58   0.329   2.974  13.013      C
    C26    TCP   58   1.501   2.458   2.479      C
    C27    TCP   58   0.306   2.974   2.992      C
    C28    TCP   58   0.305   3.967   3.974      C
    C29    TCP   58   1.511   4.478   4.487      C
    C30    TCP   58   2.712   3.956   3.974      C
    C31    TCP   58   2.702   2.969   2.989      C
    C32    TCP   58   1.470  13.533   2.471      C
    C33    TCP   58   0.274  13.042   3.004      C
    C34    TCP   58   0.269  12.055   3.991      C
    C35    TCP   58   1.471  11.515   4.482      C
    C36    TCP   58   2.673  12.009   3.945      C
    C37    TCP   58   2.668  13.000   2.961      C
    C38    TCP   58   1.498  13.541  13.522      C
    C39    TCP   58   0.298  13.040  13.004      C
    C40    TCP   58   0.288  12.053  12.016      C
    C41    TCP   58   1.489  11.521  11.513      C
    C42    TCP   58   2.694  12.024  12.035      C
    C43    TCP   58   2.693  13.016  13.017      C
      O    TCP   58   0.391   0.972  14.996      O
    C44    TCP   58   1.529   1.367  14.630      C
     O1    TCP   58   2.665   1.000  15.023      O
     O2    TCP   58   2.606  15.003   0.980      O
    C45    TCP   58   1.469  14.634   1.373      C
     O3    TCP   58   0.332  15.026   1.004      O
     O4    TCP   58   2.642  15.021  14.996      O
    C46    TCP   58   1.502  14.643  14.619      C
     O5    TCP   58   0.367  15.028  15.000      O
     O6    TCP   58   2.633   0.980   0.991      O
    C47    TCP   58   1.497   1.356   1.382      C
     O7    TCP   58   0.358   0.968   1.014      O
     CO    TCP   58   1.500   8.000   8.000     CO
    H24    TCP   58   1.412   2.908   6.657      H
     H1    TCP   58   1.419   2.910   9.351      H
     H2    TCP   58   1.457   9.342   2.906      H
     H3    TCP   58   1.517   6.650   2.907      H
     H4    TCP   58   1.580  13.089   6.649      H
     H5    TCP   58   1.587  13.091   9.342      H
     H6    TCP   58   1.482   9.350  13.093      H
     H7    TCP   58   1.542   6.657  13.095      H
     H8    TCP   58   3.650   2.586  13.434      H
     H9    TCP   58   3.673   4.363  11.656      H
    H10    TCP   58  -0.619   4.343  11.638      H
    H11    TCP   58  -0.594   2.563  13.410      H
    H12    TCP   58  -0.620   2.569   2.593      H
    H13    TCP   58  -0.636   4.352   4.362      H
    H14    TCP   58   3.656   4.342   4.355      H
    H15    TCP   58   3.624   2.563   2.581      H
    H16    TCP   58  -0.652  13.459   2.615      H
    H17    TCP   58  -0.674  11.684   4.391      H
    H18    TCP   58   3.617  11.611   4.315      H
    H19    TCP   58   3.591  13.391   2.543      H
    H20    TCP   58  -0.625  13.452  13.404      H
    H21    TCP   58  -0.656  11.675  11.630      H
    H22    TCP   58   3.635  11.632  11.653      H
    H23    TCP   58   3.619  13.415  13.421      H
